x,y,z
2.68187,2.3372,-2.22861
2.70795,1.1372,-6.57741
2.70795,2.28503,-10.3481
2.73404,1.1372,-4.47518
2.73404,1.16329,-7.39082
2.73404,1.18938,-14.1965
2.73404,1.24155,-33.7455
2.73404,1.29373,-61.0215
2.73404,1.31981,-60.4553
2.73404,1.37199,-59.2269
2.73404,1.42416,-58.3408
2.73404,1.50242,-60.4808
2.73404,1.52851,-60.7055
2.73404,1.5546,-60.4567
2.73404,1.60677,-59.8742
2.73404,1.65894,-58.9258
2.73404,1.68503,-59.1836
2.73404,1.7372,-60.5807
2.73404,1.78938,-62.6815
2.73404,1.81547,-63.2279
2.73404,1.84155,-63.6281
2.73404,1.91981,-63.4366
2.73404,1.9459,-63.2027
2.73404,1.97199,-62.8009
2.73404,2.02416,-56.1941
2.73404,2.05025,-62.1049
2.73404,2.10242,-47.9345
2.73404,2.1546,-48.1278
2.73404,2.18068,-48.1325
2.73404,2.20677,-48.4958
2.73404,2.28503,-49.0626
2.73404,2.31112,-27.7493
2.73404,2.3372,-20.8414
2.76013,2.25894,-56.7181
2.78621,1.1372,-1.52351
2.78621,1.18938,-15.1251
2.78621,1.24155,-55.9027
2.78621,1.31981,-55.0038
2.78621,1.37199,-53.7058
2.78621,1.39807,-53.543
2.78621,1.42416,-53.5101
2.78621,1.47634,-54.3178
2.78621,1.50242,-54.3134
2.78621,1.5546,-53.647
2.78621,1.60677,-53.3782
2.78621,1.63286,-53.4223
2.78621,1.65894,-53.2189
2.78621,1.7372,-54.1906
2.78621,1.76329,-55.1784
2.78621,1.78938,-56.1289
2.78621,1.84155,-57.3017
2.78621,1.86764,-57.5028
2.78621,1.91981,-57.2611
2.78621,1.97199,-56.8081
2.78621,2.02416,-56.2323
2.78621,2.10242,-55.7505
2.78621,2.12851,-55.7816
2.78621,2.1546,-56.0516
2.78621,2.20677,-56.7203
2.78621,2.25894,-57.1383
2.78621,2.28503,-57.2441
2.78621,2.3372,-24.2914
2.8123,1.1372,-4.1085
2.8123,1.21547,-52.5454
2.8123,1.26764,-52.4875
2.8123,1.31981,-51.936
2.8123,1.39807,-50.5587
2.8123,1.42416,-48.1843
2.8123,1.50242,-48.2856
2.8123,1.7372,-38.9446
2.8123,1.86764,-63.4174
2.8123,1.89373,-63.3377
2.8123,1.97199,-62.7905
2.8123,2.02416,-62.4396
2.8123,2.07634,-62.0135
2.8123,2.18068,-62.2191
2.8123,2.28503,-63.1899
2.8123,2.3372,-14.8094
2.83839,1.1372,-8.88436
2.83839,1.18938,-35.8052
2.83839,1.24155,-52.643
2.83839,1.29373,-52.5243
2.83839,1.31981,-52.3608
2.83839,1.37199,-11.7048
2.83839,1.42416,-7.88287
2.83839,1.45025,-8.31576
2.83839,1.50242,-10.289
2.83839,1.5546,-11.16
2.83839,1.58068,-19.2994
2.83839,1.60677,-18.1853
2.83839,1.65894,-14.2991
2.83839,1.71112,-14.0477
2.83839,1.7372,-16.4684
2.83839,1.78938,-16.7738
2.83839,1.84155,-17.3895
2.83839,1.91981,-30.3082
2.83839,1.97199,-50.7262
2.83839,2.02416,-50.4478
2.83839,2.07634,-50.1749
2.83839,2.10242,-50.0768
2.83839,2.1546,-52.1875
2.83839,2.20677,-50.4102
2.83839,2.23286,-50.5513
2.83839,2.28503,-50.658
2.83839,2.3372,-16.2122
2.86447,2.12851,-56.7889
2.86447,2.3372,-13.6934
2.89056,1.1372,-39.6919
2.89056,1.18938,-20.1498
2.89056,1.21547,-18.1522
2.89056,1.24155,-20.2127
2.89056,1.31981,-11.6175
2.89056,1.37199,-8.12466
2.89056,1.42416,-6.27365
2.89056,1.45025,-9.6653
2.89056,1.47634,-26.6401
2.89056,1.5546,-50.7348
2.89056,1.58068,-51.198
2.89056,1.60677,-51.4916
2.89056,1.65894,-19.8531
2.89056,1.71112,-13.4605
2.89056,1.7372,-12.8206
2.89056,1.78938,-12.2436
2.89056,1.81547,-16.7019
2.89056,1.84155,-24.0025
2.89056,1.91981,-51.2463
2.89056,1.9459,-51.1481
2.89056,1.97199,-51.0424
2.89056,2.3372,-21.1652
2.91665,2.02416,-51.3291
2.91665,2.07634,-53.5627
