x,y,z
2.68597,1.13186,8.66667e-06
2.68597,1.14816,8.66667e-06
2.68597,1.16447,8.1e-05
2.68597,1.18077,0.000576
2.68597,1.19707,0.0003145
2.68597,1.21338,0.005625
2.68597,1.22968,0.009194
2.68597,1.24599,0.009194
2.68597,1.26229,0.030976
2.68597,1.2786,0.050176
2.68597,1.2949,0.107584
2.68597,1.3112,0.094913
2.68597,1.32751,0.085849
2.68597,1.34381,0.085849
2.68597,1.36012,0.038416
2.68597,1.37642,0.034969
2.68597,1.39273,0.033856
2.68597,1.40903,0.033856
2.68597,1.42534,0.045805
2.68597,1.44164,0.045805
2.68597,1.45794,0.0890975
2.68597,1.47425,0.0827357
2.68597,1.49055,0.130169
2.68597,1.50686,0.115597
2.68597,1.52316,0.115597
2.68597,1.53947,0.241219
2.68597,1.55577,0.2116
2.68597,1.57207,0.270231
2.68597,1.58838,0.361201
2.68597,1.60468,0.311876
2.68597,1.62099,0.304909
2.68597,1.63729,0.315844
2.68597,1.6536,0.139836
2.68597,1.6699,0.186948
2.68597,1.6862,0.186948
2.68597,1.70251,0.148828
2.68597,1.71881,9e-06
2.68597,1.73512,7.83333e-06
2.68597,1.75142,5e-06
2.68597,1.76773,6.4e-05
2.68597,1.78403,2.5e-05
2.68597,1.80034,2.5e-05
2.68597,1.81664,1.65714e-05
2.68597,1.83294,1.65714e-05
2.68597,1.84925,9e-06
2.68597,1.86555,9e-06
2.68597,1.88186,4e-06
2.68597,1.89816,6e-06
2.68597,1.91447,4.66667e-06
2.68597,1.93077,3.66667e-06
2.68597,1.94707,9e-06
2.68597,1.96338,5e-06
2.68597,1.97968,9e-06
2.68597,1.99599,1.67143e-05
2.68597,2.01229,2e-06
2.68597,2.0286,2e-06
2.68597,2.0449,8.1e-05
2.68597,2.0612,3.6e-05
2.68597,2.07751,1.6e-05
2.68597,2.09381,1.6e-05
2.68597,2.11012,4e-06
2.68597,2.12642,0.009025
2.68597,2.14273,0.015625
2.68597,2.15903,0.015625
2.68597,2.17534,0.101761
2.68597,2.19164,0.141376
2.68597,2.20794,0.212521
2.68597,2.22425,0.212521
2.68597,2.24055,0.373974
2.68597,2.25686,0.373974
2.68597,2.27316,0.373974
2.68597,2.28947,0.245025
2.68597,2.30577,0.304173
2.68597,2.32207,0.304173
2.68597,2.33838,0.293764
2.68597,2.35468,0.3025
2.68597,2.37099,0.3025
2.70227,1.13186,8.66667e-06
2.70227,1.14816,8.66667e-06
2.70227,1.16447,8.66667e-06
2.70227,1.18077,0.001557
2.70227,1.19707,0.0064025
2.70227,1.21338,0.0271717
2.70227,1.22968,0.0257065
2.70227,1.24599,0.047524
2.70227,1.26229,0.030976
2.70227,1.2786,0.10923
2.70227,1.2949,0.122487
2.70227,1.3112,0.140625
2.70227,1.32751,0.140625
2.70227,1.34381,0.045369
2.70227,1.36012,0.059042
2.70227,1.37642,0.0506827
2.70227,1.39273,0.050625
2.70227,1.40903,0.050625
2.70227,1.42534,0.041862
2.70227,1.44164,0.051529
2.70227,1.45794,0.105296
