x,y,z
2.68513,1.14047,-48.729
2.68513,1.17307,-27.9689
2.68513,1.20568,-26.6625
2.68513,1.23829,-23.0842
2.68513,1.2709,-14.0924
2.68513,1.30351,-10.4415
2.68513,1.33612,-9.41056
2.68513,1.36873,-9.88966
2.68513,1.40134,-9.39377
2.68513,1.43394,-11.9591
2.68513,1.46655,-10.3273
2.68513,1.49916,-9.36937
2.68513,1.53177,-6.1179
2.68513,1.56438,-6.13314
2.68513,1.59699,-4.99477
2.68513,1.6296,-4.64278
2.68513,1.6622,-6.22965
2.68513,1.69481,-8.22998
2.68513,1.72742,-51.4095
2.68513,1.76003,-54.1916
2.68513,1.79264,-50.761
2.68513,1.82525,-50.8191
2.68513,1.85786,-56.2499
2.68513,1.89047,-54.5463
2.68513,1.92307,-58.4418
2.68513,1.95568,-55.2969
2.68513,1.98829,-54.6802
2.68513,2.0209,-59.7798
2.68513,2.05351,-59.5753
2.68513,2.08612,-47.5996
2.68513,2.11873,-22.5973
2.68513,2.15134,-22.4538
2.68513,2.18394,-12.0544
2.68513,2.21655,-12.1903
2.68513,2.24916,-6.95307
2.68513,2.28177,-8.9171
2.68513,2.31438,-9.2172
2.68513,2.34699,-8.66486
2.68513,2.3796,-8.95228
2.71774,1.14047,-48.9645
2.71774,1.17307,-30.8973
2.71774,1.20568,-21.0214
2.71774,1.23829,-21.147
2.71774,1.2709,-16.3226
2.71774,1.30351,-9.4675
2.71774,1.33612,-13.423
2.71774,1.36873,-13.4088
2.71774,1.40134,-12.6875
2.71774,1.43394,-7.39198
2.71774,1.46655,-6.08762
2.71774,1.49916,-6.54909
2.71774,1.53177,-6.02688
2.71774,1.56438,-6.90211
2.71774,1.59699,-5.37802
2.71774,1.6296,-8.09551
2.71774,1.6622,-12.8555
2.71774,1.69481,-23.1558
2.71774,1.72742,-53.8289
2.71774,1.76003,-46.8921
2.71774,1.79264,-53.5705
2.71774,1.82525,-56.0519
2.71774,1.85786,-49.9865
2.71774,1.89047,-56.1573
2.71774,1.92307,-31.8982
2.71774,1.95568,-57.2715
2.71774,1.98829,-50.7174
2.71774,2.0209,-51.3084
2.71774,2.05351,-62.177
2.71774,2.08612,-47.4235
2.71774,2.11873,-47.4422
2.71774,2.15134,-26.947
2.71774,2.18394,-9.45214
2.71774,2.21655,-8.1823
2.71774,2.24916,-8.17982
2.71774,2.28177,-7.86887
2.71774,2.31438,-7.48221
2.71774,2.34699,-8.31366
2.71774,2.3796,-10.2944
2.75034,1.14047,-61.4207
2.75034,1.17307,-27.5733
2.75034,1.20568,-17.6994
2.75034,1.23829,-14.403
2.75034,1.2709,-16.6424
2.75034,1.30351,-16.1052
2.75034,1.33612,-11.6444
2.75034,1.36873,-10.857
2.75034,1.40134,-2.52088
2.75034,1.43394,-2.71845
2.75034,1.46655,2.18375
