x,y,z
2.68199,1.15107,0.000121
2.68199,1.17716,0.000121
2.68199,1.20325,0.000121
2.68199,1.22933,0.000121
2.68199,1.25542,4.1e-05
2.68199,1.28151,6.1e-05
2.68199,1.3076,6.1e-05
2.68199,1.33368,8.1e-05
2.68199,1.35977,0.000121
2.68199,1.38586,4.1e-05
2.68199,1.41194,6.1e-05
2.68199,1.43803,6.1e-05
2.68199,1.46412,8.1e-05
2.68199,1.4902,4.1e-05
2.68199,1.51629,6.1e-05
2.68199,1.54238,5.26667e-05
2.68199,1.56846,1.575e-05
2.68199,1.59455,2.06667e-05
2.68199,1.62064,1.98e-05
2.68199,1.64673,2.06667e-05
2.68199,1.67281,2.06667e-05
2.68199,1.6989,2.175e-05
2.68199,1.72499,2.06667e-05
2.68199,1.75107,0.204848
2.68199,1.77716,0.000727
2.68199,1.80325,0.099288
2.68199,1.82933,0.300201
2.68199,1.85542,0.792324
2.68199,1.88151,0.725986
2.68199,1.9076,0.681358
2.68199,1.93368,0.858521
2.68199,1.95977,0.702192
2.68199,1.98586,0.937767
2.68199,2.01194,0.741882
2.68199,2.03803,0.395078
2.68199,2.06412,0.117616
2.68199,2.0902,0.158025
2.68199,2.11629,0.108715
2.68199,2.14238,0.0710532
2.68199,2.16846,0.166032
2.68199,2.19455,0.197183
2.68199,2.22064,0.176548
2.68199,2.24673,0.2349
2.68199,2.27281,0.210191
2.68199,2.2989,0.232361
2.68199,2.32499,0.214358
2.68199,2.35107,0.143157
2.68199,2.37716,0.129883
2.70808,1.15107,0.00073
2.70808,1.17716,0.0889295
2.70808,1.20325,0.087314
2.70808,1.22933,0.153554
2.70808,1.25542,0.126054
2.70808,1.28151,0.0748112
2.70808,1.3076,0.0449793
2.70808,1.33368,0.0290107
2.70808,1.35977,0.00223
2.70808,1.38586,3.42e-05
2.70808,1.41194,2.86667e-05
2.70808,1.43803,3.375e-05
2.70808,1.46412,2.175e-05
2.70808,1.4902,3.05e-05
2.70808,1.51629,2.86667e-05
2.70808,1.54238,2.5e-05
2.70808,1.56846,3.3e-05
2.70808,1.59455,2.5e-05
2.70808,1.62064,1.7e-05
2.70808,1.64673,2.5e-05
2.70808,1.67281,3.3e-05
2.70808,1.6989,2.5e-05
2.70808,1.72499,1.7e-05
2.70808,1.75107,2.5e-05
2.70808,1.77716,0.015033
2.70808,1.80325,0.35536
2.70808,1.82933,0.990543
2.70808,1.85542,1.61645
2.70808,1.88151,1.91777
2.70808,1.9076,2.10919
2.70808,1.93368,2.5345
2.70808,1.95977,2.45254
2.70808,1.98586,2.46981
2.70808,2.01194,2.54022
2.70808,2.03803,1.74937
2.70808,2.06412,0.781194
2.70808,2.0902,0.457979
2.70808,2.11629,0.346003
2.70808,2.14238,0.392333
2.70808,2.16846,0.436517
2.70808,2.19455,0.672002
2.70808,2.22064,0.578744
2.70808,2.24673,0.677653
2.70808,2.27281,1.11408
2.70808,2.2989,1.06285
2.70808,2.32499,0.46789
2.70808,2.35107,0.666305
2.70808,2.37716,0.0918248
2.73416,1.15107,0.620218
2.73416,1.17716,0.763993
2.73416,1.20325,0.520003
