x,y,z
2.70795,2.25894,-27.1467
2.73404,1.1372,0.781555
2.73404,2.25894,-36.3828
2.8123,1.1372,-56.0624
2.8123,1.21547,-56.0672
2.8123,1.26764,-56.0093
2.8123,1.3459,-54.8903
2.8123,1.42416,-54.2049
2.8123,1.45025,-54.1574
2.8123,1.52851,-32.5617
2.8123,1.58068,-12.4703
2.8123,1.63286,-9.84827
2.8123,1.71112,-42.0155
2.8123,1.7372,-50.9858
2.8123,1.81547,-53.1393
2.8123,1.89373,-21.9739
2.8123,1.91981,-10.8808
2.8123,1.99807,-3.85052
2.8123,2.02416,-4.86919
2.8123,2.10242,-52.3909
2.8123,2.18068,-54.09
2.8123,2.20677,-53.0927
2.8123,2.28503,-53.6475
2.8123,2.3372,-37.6334
2.89056,2.07634,-57.3047
2.89056,2.3372,-52.5293
2.96882,1.1372,-52.5088
2.96882,1.24155,-45.092
2.96882,1.26764,-62.3029
2.96882,1.3459,-62.7021
2.96882,1.42416,-11.4757
2.96882,1.45025,-7.72729
2.96882,1.52851,-5.92607
2.96882,1.58068,-8.8864
2.96882,1.63286,-21.8341
2.96882,1.71112,-56.5048
2.96882,1.7372,-56.4862
2.96882,1.81547,-25.3685
2.96882,1.86764,-16.2439
2.96882,1.91981,-20.034
2.96882,1.99807,-15.3502
2.96882,2.02416,-38.899
2.96882,2.12851,-53.9139
2.96882,2.18068,-53.2862
2.96882,2.23286,-52.7181
2.96882,2.31112,-52.1402
2.96882,2.3372,-32.0664
3.04708,1.1372,-12.0075
3.07317,1.91981,-51.5158
3.09926,1.1372,-3.50189
3.09926,1.16329,-8.94612
3.09926,1.24155,-18.329
3.09926,1.26764,-13.4253
3.09926,1.37199,-7.55926
3.12534,1.42416,-28.947
3.12534,1.47634,-48.983
3.12534,1.5546,-12.594
3.12534,1.58068,-7.82948
3.12534,1.65894,-2.12738
3.12534,1.7372,-8.7738
3.12534,1.76329,-15.7398
3.12534,1.84155,-53.7399
3.12534,1.86764,-53.7218
3.12534,1.9459,-53.9318
3.12534,2.02416,-16.5634
3.12534,2.05025,-11.2741
3.12534,2.12851,-7.96701
3.12534,2.18068,-4.05611
3.12534,2.23286,-3.20862
3.12534,2.31112,-12.6285
3.12534,2.3372,-17.7793
3.15143,1.84155,-51.1136
3.2036,2.3372,-22.9937
3.22969,1.7372,-53.9849
3.22969,1.76329,-13.6248
3.25578,1.1372,-4.54127
3.25578,1.16329,-11.9044
3.25578,1.18938,-29.0122
3.25578,1.21547,-47.5516
3.25578,1.24155,-48.8668
3.25578,1.26764,-47.1491
3.25578,1.29373,-47.6576
3.25578,1.31981,-48.2226
3.25578,1.37199,-47.5339
3.25578,1.39807,-45.5914
3.25578,1.42416,-33.3766
3.25578,1.47634,-4.96789
3.25578,1.50242,-1.2751
3.25578,1.52851,1.52263
3.25578,1.5546,2.04532
