x,y,z
2.58212,2.14447,0.1681
2.60821,1.15316,9.93783
2.60821,1.17925,10.1046
2.60821,1.23142,8.41114
2.60821,1.25751,5.97746
2.60821,1.30968,3.57584
2.60821,1.36186,2.91385
2.60821,1.38795,2.92068
2.60821,1.44012,3.96699
2.60821,1.46621,5.37873
2.60821,1.49229,5.88909
2.60821,1.54447,5.18956
2.60821,1.59664,2.97562
2.60821,1.62273,1.55501
2.60821,1.6749,0.288369
2.60821,1.70099,0.021316
2.60821,1.72708,0.038416
2.60821,1.77925,0.293764
2.60821,1.83142,0.413449
2.60821,1.85751,0.817216
2.60821,1.8836,1.0282
2.60821,1.93577,0.284089
2.60821,1.98795,0.239121
2.60821,2.01403,0.5329
2.60821,2.04012,0.770884
2.60821,2.06621,0.910761
2.60821,2.09229,1.55006
2.60821,2.11838,2.41571
2.60821,2.17055,2.58336
2.60821,2.19664,3.21485
2.60821,2.24881,2.79893
2.60821,2.32708,0.091809
2.60821,2.35316,0.2809
2.63429,1.12708,11.0179
2.63429,1.15316,11.8259
2.63429,1.20534,11.3542
2.63429,1.23142,9.74591
2.63429,1.25751,8.17957
2.63429,1.2836,5.12584
2.63429,1.30968,3.15773
2.63429,1.33577,3.04776
2.63429,1.36186,2.90362
2.63429,1.38795,3.5922
2.63429,1.41403,3.51458
2.63429,1.44012,3.93513
2.63429,1.46621,3.79187
2.63429,1.49229,2.76224
2.63429,1.51838,3.51539
2.63429,1.54447,2.76744
2.63429,1.57055,3.83029
2.63429,1.59664,1.64886
2.63429,1.64881,0.322018
2.63429,1.6749,0.021389
2.63429,1.70099,0.013924
2.63429,1.72708,0.103684
2.63429,1.75316,0.240073
2.63429,1.80534,0.403169
2.63429,1.83142,0.300304
2.63429,1.85751,0.688802
2.63429,1.8836,0.269361
2.63429,1.90968,0.354409
2.63429,1.93577,0.16619
2.63429,1.96186,0.026896
2.63429,1.98795,0.277517
2.63429,2.01403,0.579121
2.63429,2.04012,0.609961
2.63429,2.06621,0.996269
2.63429,2.11838,1.5977
2.63429,2.14447,1.1004
2.63429,2.17055,0.390625
2.63429,2.19664,0.815409
2.63429,2.24881,0.692224
2.63429,2.2749,0.837225
2.63429,2.30099,0.966289
2.63429,2.32708,0.382158
2.63429,2.37925,0.350464
2.66038,1.0749,10.748
2.66038,1.12708,11.5604
2.66038,1.15316,11.9689
2.66038,1.17925,10.894
2.66038,1.20534,5.74628
2.66038,1.23142,10.4222
2.66038,1.25751,5.73117
2.66038,1.2836,3.99223
2.66038,1.30968,2.80898
2.66038,1.33577,2.59546
2.66038,1.36186,2.47177
2.66038,1.41403,2.03171
2.66038,1.44012,2.53765
2.66038,1.46621,2.66255
2.66038,1.49229,3.39363
2.66038,1.51838,2.48539
2.66038,1.54447,2.31344
2.66038,1.57055,1.14189
2.66038,1.62273,0.255089
2.66038,1.64881,0.000841
2.66038,1.6749,0.0056225
2.66038,1.70099,3.66667e-06
2.66038,1.72708,4.66667e-06
2.66038,1.75316,0.0159097
2.66038,1.77925,0.0823225
2.66038,1.80534,0.110173
2.66038,1.83142,0.121801
2.66038,1.85751,0.184041
2.66038,1.8836,0.048712
2.66038,1.90968,0.000841
2.66038,1.93577,9e-06
2.66038,1.96186,0.00155667
2.66038,1.98795,0.004761
2.66038,2.01403,0.205378
2.66038,2.04012,0.254761
2.66038,2.06621,0.103684
2.66038,2.09229,0.070234
2.66038,2.11838,0.117264
2.66038,2.17055,0.137552
2.66038,2.19664,0.173889
2.66038,2.22273,0.141376
2.66038,2.24881,0.239249
2.66038,2.2749,0.0410825
2.66038,2.30099,0.0917785
2.66038,2.32708,0.11506
2.66038,2.35316,0.184041
2.66038,2.37925,0.200704
2.68647,1.0749,11.5708
2.68647,1.12708,11.3204
2.68647,1.15316,11.8611
2.68647,1.17925,10.8538
2.68647,1.20534,10.8168
2.68647,1.23142,7.27224
2.68647,1.25751,4.7351
2.68647,1.2836,2.87204
2.68647,1.30968,2.85321
2.68647,1.33577,2.2775
2.68647,1.36186,2.30567
2.68647,1.38795,1.91708
2.68647,1.41403,2.26867
2.68647,1.44012,1.20637
2.68647,1.46621,1.70682
2.68647,1.49229,1.42883
2.68647,1.51838,1.36298
2.68647,1.54447,0.138745
2.68647,1.57055,0.811218
2.68647,1.59664,0.466871
2.68647,1.62273,0.136769
2.68647,1.64881,0.0165823
2.68647,1.6749,9e-06
2.68647,1.70099,0.001225
2.68647,1.72708,0.00152967
2.68647,1.75316,0.002809
2.68647,1.77925,0.026413
2.68647,1.80534,0.0235345
2.68647,1.83142,0.008281
2.68647,1.85751,0.000168667
2.68647,1.8836,2.76667e-05
2.68647,1.90968,1e-06
2.68647,1.93577,0.000177
2.68647,1.96186,0.0441613
2.68647,2.01403,0.330625
2.68647,2.04012,0.673893
2.68647,2.06621,0.50221
2.68647,2.09229,0.222917
2.68647,2.11838,0.3025
2.68647,2.14447,8.65e-05
2.68647,2.17055,0.105802
2.68647,2.19664,0.193442
2.68647,2.22273,0.108303
2.68647,2.2749,0.011881
2.68647,2.30099,0.086436
2.68647,2.32708,0.073441
2.68647,2.35316,0.224257
2.71256,1.12708,8.55037
2.71256,1.15316,7.78
2.71256,1.17925,8.31506
2.71256,1.20534,6.19308
2.71256,1.25751,2.84581
2.71256,1.2836,1.59673
2.71256,1.30968,1.13705
2.71256,1.33577,0.955389
2.71256,1.36186,0.925589
2.71256,1.38795,0.577855
2.71256,1.41403,0.387089
2.71256,1.44012,0.304542
2.71256,1.46621,0.320859
2.71256,1.49229,0.130954
2.71256,1.51838,0.055767
2.71256,1.54447,3.66667e-06
2.71256,1.57055,1e-05
2.71256,1.59664,7.5e-06
2.71256,1.62273,6.5e-06
2.71256,1.64881,1e-06
2.71256,1.6749,0.000436333
2.71256,1.70099,0.0984207
2.71256,1.72708,0.0025
2.71256,1.75316,0.00188967
2.71256,1.77925,0.000244
2.71256,1.80534,3.6e-05
2.71256,1.83142,1.53333e-05
2.71256,1.85751,0.0002316
2.71256,1.8836,2.25e-05
2.71256,1.90968,7.76667e-05
2.71256,1.93577,6.86667e-05
2.71256,1.96186,0.045369
2.71256,1.98795,0.142803
2.71256,2.01403,0.309164
2.71256,2.04012,0.21054
2.71256,2.06621,0.248586
2.71256,2.09229,9.66667e-06
2.71256,2.11838,0.111867
2.71256,2.14447,1.6e-05
2.71256,2.17055,9.66667e-06
2.71256,2.19664,0.12701
2.71256,2.22273,0.0198413
2.71256,2.2749,0.227529
2.71256,2.30099,0.22994
2.71256,2.32708,0.198025
2.71256,2.35316,0.329476
2.71256,2.37925,0.342225
2.73864,1.12708,3.08003
2.73864,1.15316,4.39127
2.73864,1.17925,3.04502
2.73864,1.23142,2.06784
2.73864,1.25751,0.966289
2.73864,1.2836,0.043681
2.73864,1.30968,0.429025
2.73864,1.33577,0.258064
2.73864,1.36186,0.702244
2.73864,1.38795,0.223609
2.73864,1.44012,0.202849
2.73864,1.46621,0.0417625
2.73864,1.49229,0.0501217
2.73864,1.51838,0.10859
2.73864,1.54447,1e-06
2.73864,1.57055,0.0693207
2.73864,1.59664,1e-06
2.73864,1.62273,0.0632168
2.73864,1.64881,0.157491
2.73864,1.6749,0.0968225
2.73864,1.70099,0.183238
2.73864,1.72708,0.0758225
2.73864,1.75316,0.169173
2.73864,1.77925,0.0594247
2.73864,1.83142,0.0326505
2.73864,1.85751,0.031501
2.73864,1.8836,0.047127
2.73864,1.90968,0.11943
2.73864,1.93577,0.168225
2.73864,1.96186,0.574223
2.73864,2.01403,0.606841
2.73864,2.06621,0.129232
2.73864,2.09229,2.5e-05
2.73864,2.11838,9e-06
2.73864,2.14447,9e-06
2.73864,2.17055,9e-06
2.73864,2.22273,0.051984
2.73864,2.24881,0.200405
2.73864,2.2749,0.208934
2.73864,2.30099,0.194009
2.73864,2.32708,0.287296
2.73864,2.35316,0.268226
2.76473,1.12708,0.504012
2.76473,1.15316,1.32265
2.76473,1.17925,1.00499
2.76473,1.20534,1.19549
2.76473,1.23142,0.660257
2.76473,1.25751,0.344569
2.76473,1.2836,0.312585
2.76473,1.30968,0.158085
2.76473,1.33577,0.0664745
2.76473,1.36186,0.209553
2.76473,1.38795,0.0840057
2.76473,1.41403,0.060516
2.76473,1.44012,0.066134
2.76473,1.46621,0.035874
2.76473,1.49229,0.000961
2.76473,1.51838,1e-06
2.76473,1.54447,9e-06
2.76473,1.57055,5e-06
2.76473,1.59664,0.0474325
2.76473,1.62273,0.279841
2.76473,1.64881,0.161577
2.76473,1.6749,0.121801
2.76473,1.70099,0.264867
2.76473,1.75316,0.07605
2.76473,1.77925,0.012724
2.76473,1.80534,0.0001
2.76473,1.83142,0.00661133
2.76473,1.85751,0.0496993
2.76473,1.8836,0.228484
2.76473,1.90968,0.267987
2.76473,1.93577,0.564001
2.76473,1.96186,0.670761
2.76473,1.98795,0.677595
2.76473,2.01403,0.884547
2.76473,2.04012,1.00822
2.76473,2.06621,0.0251373
2.76473,2.09229,0.265837
2.76473,2.11838,0.000341667
2.76473,2.14447,0.00238575
2.76473,2.17055,0.0880687
2.76473,2.22273,0.255002
2.76473,2.24881,0.302256
2.76473,2.2749,1.15133
2.76473,2.30099,0.492558
2.76473,2.32708,0.284089
2.76473,2.35316,0.787513
2.76473,2.37925,0.641601
2.79082,1.0749,2.27539
2.79082,1.12708,0.960974
2.79082,1.15316,1.27555
2.79082,1.17925,0.708349
2.79082,1.20534,0.327151
2.79082,1.23142,0.0945477
2.79082,1.25751,0.0659567
2.79082,1.2836,0.121832
2.79082,1.30968,0.0241424
2.79082,1.33577,0.0283982
2.79082,1.36186,0.314721
2.79082,1.38795,0.113552
2.79082,1.41403,0.0686025
2.79082,1.44012,0.166539
2.79082,1.46621,0.185781
2.79082,1.49229,0.0900945
2.79082,1.51838,0.0638775
2.79082,1.54447,0.0363103
2.79082,1.57055,0.164025
2.79082,1.59664,0.163273
2.79082,1.62273,0.294849
2.79082,1.64881,0.345113
2.79082,1.6749,0.279523
2.79082,1.70099,0.432738
2.79082,1.72708,0.237425
2.79082,1.75316,0.113779
2.79082,1.77925,0.173485
2.79082,1.80534,0.0675544
2.79082,1.85751,0.168474
2.79082,1.8836,0.465825
2.79082,1.93577,0.721028
2.79082,1.96186,1.70619
2.79082,1.98795,0.532948
2.79082,2.01403,0.814072
2.79082,2.04012,0.373941
2.79082,2.06621,0.10488
2.79082,2.09229,1.7e-05
2.79082,2.11838,0.037269
2.79082,2.14447,0.00276467
2.79082,2.17055,0.119802
2.79082,2.19664,0.116051
2.79082,2.22273,0.26149
2.79082,2.24881,0.382373
2.79082,2.2749,0.266409
2.79082,2.30099,0.421142
2.79082,2.32708,0.491684
2.79082,2.35316,0.656143
2.79082,2.37925,1.71086
2.8169,1.0749,0.305809
2.8169,1.10099,0.2916
2.8169,1.12708,2.56667e-05
2.8169,1.15316,0.139392
2.8169,1.17925,0.000185
2.8169,1.23142,0.000617
2.8169,1.25751,7.33333e-06
2.8169,1.2836,4e-06
2.8169,1.30968,1.63333e-05
2.8169,1.33577,0.00276367
2.8169,1.36186,4e-06
2.8169,1.38795,0.0166713
2.8169,1.44012,0.0612487
2.8169,1.46621,0.200037
2.8169,1.51838,0.192554
2.8169,1.54447,0.319273
2.8169,1.57055,4e-06
2.8169,1.59664,0.419393
2.8169,1.62273,0.248514
2.8169,1.64881,0.410774
2.8169,1.6749,0.452163
2.8169,1.70099,0.334542
2.8169,1.72708,0.176012
2.8169,1.75316,0.425322
2.8169,1.77925,0.185037
2.8169,1.80534,0.376996
2.8169,1.83142,0.336563
2.8169,1.85751,0.859013
2.8169,1.8836,1.69
2.8169,1.90968,1.0385
2.8169,1.93577,1.16934
2.8169,1.96186,2.75228
2.8169,1.98795,0.807219
2.8169,2.04012,0.383769
2.8169,2.06621,0.14886
2.8169,2.09229,0.000225
2.8169,2.11838,0.0371967
2.8169,2.14447,2.5e-06
2.8169,2.17055,0.002471
2.8169,2.19664,0.0463165
2.8169,2.22273,0.0093125
2.8169,2.24881,0.071775
2.8169,2.2749,0.0441
2.8169,2.30099,0.0234878
2.8169,2.32708,0.132094
2.8169,2.35316,0.177013
2.8169,2.37925,0.742961
2.84299,1.10099,0.047961
2.84299,1.12708,9e-05
2.84299,1.15316,2.5e-05
2.84299,1.17925,1.36667e-05
2.84299,1.20534,4e-06
2.84299,1.23142,1.26667e-05
2.84299,1.25751,1.36667e-05
2.84299,1.2836,2e-06
2.84299,1.30968,1.26667e-05
2.84299,1.33577,2.5e-06
2.84299,1.36186,2.2e-06
2.84299,1.38795,0.0301656
2.84299,1.41403,0.0087125
2.84299,1.44012,0.099358
2.84299,1.46621,0.2218
2.84299,1.49229,0.305101
2.84299,1.51838,0.236162
2.84299,1.54447,0.303847
2.84299,1.57055,0.59002
2.84299,1.59664,0.779084
2.84299,1.62273,0.634868
2.84299,1.64881,0.547526
2.84299,1.6749,0.261121
2.84299,1.70099,0.579196
2.84299,1.72708,0.449492
2.84299,1.75316,0.755127
2.84299,1.77925,0.687124
2.84299,1.80534,1.10078
2.84299,1.83142,1.23953
2.84299,1.85751,1.78511
2.84299,1.8836,2.46279
2.84299,1.90968,2.36843
2.84299,1.93577,1.48808
2.84299,1.96186,2.34668
2.84299,1.98795,1.32422
2.84299,2.01403,1.56909
2.84299,2.04012,0.380194
2.84299,2.06621,0.145543
2.84299,2.09229,0.002906
2.84299,2.11838,0.000717667
2.84299,2.14447,0.000441
2.84299,2.17055,1.85e-05
2.84299,2.19664,0.0784082
2.84299,2.22273,0.000339333
2.84299,2.24881,0.00555933
2.84299,2.2749,8.1e-05
2.84299,2.30099,0.209322
2.84299,2.32708,0.0119222
2.84299,2.35316,0.011881
2.84299,2.37925,0.16538
2.86908,1.12708,0.000596
2.86908,1.15316,0.0018232
2.86908,1.17925,1.53333e-05
2.86908,1.20534,1e-06
2.86908,1.23142,1.175e-05
2.86908,1.25751,9.6e-06
2.86908,1.2836,1e-06
2.86908,1.30968,2.25e-05
2.86908,1.33577,1.175e-05
2.86908,1.36186,0.0001338
2.86908,1.38795,1e-05
2.86908,1.41403,0.0225062
2.86908,1.44012,0.156882
2.86908,1.46621,0.10847
2.86908,1.49229,0.300959
2.86908,1.51838,0.328353
2.86908,1.54447,0.389302
2.86908,1.57055,0.551831
2.86908,1.59664,0.304981
2.86908,1.62273,0.459684
2.86908,1.64881,0.428739
2.86908,1.6749,0.137215
2.86908,1.72708,0.179257
2.86908,1.75316,0.259464
2.86908,1.80534,0.538722
2.86908,1.85751,1.10707
2.86908,1.8836,1.67991
2.86908,1.90968,1.72962
2.86908,1.93577,1.01247
2.86908,1.96186,0.841024
2.86908,1.98795,0.2601
2.86908,2.01403,0.264583
2.86908,2.04012,0.121547
2.86908,2.06621,0.017861
2.86908,2.09229,0.0071685
2.86908,2.11838,0.0658927
2.86908,2.14447,0.00034875
2.86908,2.17055,0.042251
2.86908,2.19664,1e-06
2.86908,2.22273,1.6e-05
2.86908,2.24881,0.0711487
2.86908,2.2749,0.0635085
2.86908,2.30099,0.252785
2.86908,2.32708,6e-06
2.86908,2.35316,6e-06
2.89516,1.12708,0.002245
2.89516,1.15316,0.0015145
2.89516,1.17925,4e-06
2.89516,1.20534,1.7e-05
2.89516,1.23142,8.5e-06
2.89516,1.25751,1.3e-05
2.89516,1.2836,4e-06
2.89516,1.30968,8.5e-06
2.89516,1.33577,0.0250593
2.89516,1.36186,0.0462818
2.89516,1.38795,0.055665
2.89516,1.41403,1e-06
2.89516,1.44012,0.0359605
2.89516,1.46621,0.0753692
2.89516,1.49229,0.156944
2.89516,1.51838,0.250952
2.89516,1.54447,0.322911
2.89516,1.57055,0.346442
2.89516,1.59664,0.302095
2.89516,1.62273,0.27766
2.89516,1.64881,0.564632
2.89516,1.6749,0.411162
2.89516,1.70099,0.400299
2.89516,1.72708,0.506056
2.89516,1.75316,0.954882
2.89516,1.77925,0.97139
2.89516,1.80534,1.80634
2.89516,1.83142,1.32753
2.89516,1.85751,2.22816
2.89516,1.8836,1.55042
2.89516,1.90968,1.44071
2.89516,1.96186,1.05815
2.89516,1.98795,0.466295
2.89516,2.04012,0.312468
2.89516,2.06621,0.220194
2.89516,2.09229,0.0180008
2.89516,2.11838,1e-06
2.89516,2.17055,1e-06
2.89516,2.22273,8.5e-06
2.89516,2.24881,9e-06
2.89516,2.2749,8.5e-06
2.89516,2.30099,8.5e-06
2.89516,2.35316,1e-06
2.89516,2.37925,9e-06
2.92125,1.10099,4e-06
2.92125,1.12708,0.00014975
2.92125,1.15316,1.36667e-05
2.92125,1.17925,0.000144
2.92125,1.20534,3.75e-06
2.92125,1.23142,0.0235687
2.92125,1.25751,0.135429
2.92125,1.2836,0.502827
2.92125,1.33577,0.706158
2.92125,1.36186,0.502307
2.92125,1.38795,0.2601
2.92125,1.41403,1e-06
2.92125,1.46621,0.112503
2.92125,1.49229,0.0567925
2.92125,1.54447,0.0817763
2.92125,1.57055,0.0648045
2.92125,1.59664,0.181476
2.92125,1.62273,0.29735
2.92125,1.64881,0.164094
2.92125,1.6749,0.0773187
2.92125,1.70099,0.18954
2.92125,1.72708,0.312328
2.92125,1.75316,0.407384
2.92125,1.77925,0.561693
2.92125,1.80534,0.963475
2.92125,1.83142,0.91919
2.92125,1.85751,1.17591
2.92125,1.8836,0.560778
2.92125,1.90968,0.708499
2.92125,1.93577,0.300606
2.92125,1.96186,0.153165
2.92125,1.98795,0.054485
2.92125,2.01403,0.0633967
2.92125,2.04012,0.023104
2.92125,2.06621,0.0241007
2.92125,2.09229,0.0181583
2.92125,2.14447,0.0009205
2.92125,2.17055,9.5e-06
2.92125,2.19664,9e-06
2.92125,2.22273,7.33333e-06
2.92125,2.24881,9e-06
2.92125,2.2749,7.33333e-06
2.92125,2.30099,9e-06
2.92125,2.32708,9e-06
2.92125,2.35316,1.6e-05
2.92125,2.37925,9e-06
2.94734,1.12708,0.00884425
2.94734,1.15316,0.000773
2.94734,1.17925,1e-05
2.94734,1.20534,1.4e-05
2.94734,1.23142,2.5e-05
2.94734,1.25751,0.00289667
