x,y,z
2.68513,1.14047,-54.7496
2.68513,1.17307,-52.7401
2.68513,1.20568,-46.1112
2.68513,1.23829,-54.3708
2.68513,1.2709,-32.0692
2.68513,1.30351,-25.0711
2.68513,1.33612,-24.0402
2.68513,1.36873,-11.33
2.68513,1.40134,-4.49685
2.68513,1.43394,-3.47254
2.68513,1.46655,-0.691527
2.68513,1.49916,-0.417728
2.68513,1.53177,-1.71173
2.68513,1.56438,-3.30076
2.68513,1.59699,-2.41863
2.68513,1.6296,-6.08768
2.68513,1.6622,-5.90963
2.68513,1.69481,-39.5561
2.68513,1.72742,-46.7179
2.68513,1.76003,-26.3805
2.68513,1.79264,-25.0105
2.68513,1.82525,-21.9888
2.68513,1.85786,-13.3918
2.68513,1.89047,-16.0516
2.68513,1.92307,-14.5287
2.68513,1.95568,-27.1454
2.68513,1.98829,-50.0136
2.68513,2.0209,-47.7726
2.68513,2.05351,-53.0432
2.68513,2.08612,-52.6812
2.68513,2.11873,-55.4617
2.68513,2.15134,-49.7037
2.68513,2.18394,-49.9995
2.68513,2.21655,-47.4231
2.68513,2.24916,-46.4603
2.68513,2.28177,-22.1407
2.68513,2.31438,-11.7437
2.68513,2.34699,-13.7607
2.68513,2.3796,-14.0481
2.71774,1.14047,-51.7115
2.71774,1.17307,-54.5775
2.71774,1.20568,-61.2781
2.71774,1.23829,-50.4347
2.71774,1.2709,-61.2328
2.71774,1.30351,-48.9069
2.71774,1.33612,-40.4385
2.71774,1.36873,-13.7411
2.71774,1.40134,-13.0198
2.71774,1.43394,-3.78892
2.71774,1.46655,-0.382191
2.71774,1.49916,1.12169
2.71774,1.53177,0.378179
2.71774,1.56438,-2.31438
2.71774,1.59699,-3.37205
2.71774,1.6296,-7.16935
2.71774,1.6622,-16.5227
2.71774,1.69481,-37.7914
2.71774,1.72742,-25.9964
2.71774,1.76003,-15.7264
2.71774,1.79264,-13.9315
2.71774,1.82525,-11.709
2.71774,1.85786,-10.8106
2.71774,1.89047,-12.4814
2.71774,1.92307,-15.0852
2.71774,1.95568,-17.6089
2.71774,1.98829,-32.1972
2.71774,2.0209,-57.6767
2.71774,2.05351,-44.6693
2.71774,2.08612,-54.7235
2.71774,2.11873,-54.4695
2.71774,2.15134,-55.2258
2.71774,2.18394,-54.9487
2.71774,2.21655,-53.1747
2.71774,2.24916,-39.5954
2.71774,2.28177,-29.235
2.71774,2.31438,-29.4887
2.71774,2.34699,-19.8108
2.71774,2.3796,-35.2159
2.75034,1.14047,-51.8783
2.75034,1.17307,-54.7858
2.75034,1.20568,-52.6992
2.75034,1.23829,-61.408
2.75034,1.2709,-54.6123
2.75034,1.30351,-58.3348
2.75034,1.33612,-57.5801
2.75034,1.36873,-18.9615
2.75034,1.40134,-9.67677
2.75034,1.43394,-2.32395
2.75034,1.46655,0.437978
2.75034,1.49916,1.30793
2.75034,1.53177,0.429851
2.75034,1.56438,-0.431053
2.75034,1.59699,-2.14264
2.75034,1.6296,-4.63514
2.75034,1.6622,-6.99039
2.75034,1.69481,-4.30872
2.75034,1.72742,-4.49327
2.75034,1.76003,-5.40181
2.75034,1.79264,-2.81566
2.75034,1.82525,-3.63075
2.75034,1.85786,-3.37863
2.75034,1.89047,-8.20724
2.75034,1.92307,-9.65155
2.75034,1.95568,-6.98862
2.75034,1.98829,-12.1733
