x,y,z
2.69511,1.13179,1.3e-05
2.69511,1.14809,1.3e-05
2.69511,1.1644,0.0456525
2.69511,1.1807,0.276676
2.69511,1.19701,0.276676
2.69511,1.21331,0.628923
2.69511,1.22962,0.881721
2.69511,1.24592,0.848241
2.69511,1.26223,1.47866
2.69511,1.27853,1.47866
2.69511,1.29483,1.84145
2.69511,1.31114,1.66926
2.69511,1.32744,1.75483
2.69511,1.34375,1.42564
2.69511,1.36005,1.42564
2.69511,1.37636,2.72089
2.69511,1.39266,2.3716
2.69511,1.40896,2.3716
2.69511,1.42527,1.78222
2.69511,1.44157,1.78222
2.69511,1.45788,1.50891
2.69511,1.47418,1.50891
2.69511,1.49049,0.973565
2.69511,1.50679,0.644809
2.69511,1.52309,0.275625
2.69511,1.5394,0.103684
2.69511,1.5557,0.009409
2.69511,1.57201,0.0095185
2.69511,1.58831,0.015625
2.69511,1.60462,0.015625
2.69511,1.62092,1.6e-05
2.69511,1.63723,0.000324
2.69511,1.65353,4e-06
2.69511,1.66983,0.008649
2.69511,1.68614,0.008649
2.69511,1.70244,0.029584
2.69511,1.71875,0.244687
2.69511,1.73505,0.339579
2.69511,1.75136,0.339579
2.69511,1.76766,0.933074
2.69511,1.78396,1.3456
2.69511,1.80027,1.85013
2.69511,1.81657,1.99374
2.69511,1.83288,1.99374
2.69511,1.84918,1.98988
2.69511,1.86549,1.98988
2.69511,1.88179,1.5277
2.69511,1.89809,1.11725
2.69511,1.9144,1.11725
2.69511,1.9307,0.509897
2.69511,1.94701,0.237599
2.69511,1.96331,0.237599
2.69511,1.97962,0.373939
2.69511,1.99592,0.120409
2.69511,2.01223,8.1e-05
2.69511,2.02853,0.002919
2.69511,2.04483,0.000324
2.69511,2.06114,0.000324
2.69511,2.07744,0.033856
2.69511,2.09375,0.0681445
2.69511,2.11005,0.166464
2.69511,2.12636,0.168497
2.69511,2.14266,0.168497
2.69511,2.15896,0.0299185
2.69511,2.17527,0.130713
2.69511,2.19157,0.029573
2.69511,2.20788,0.048122
2.69511,2.22418,0.048122
2.69511,2.24049,0.005929
2.69511,2.25679,0.09586
2.69511,2.27309,0.170912
2.69511,2.2894,0.188356
2.69511,2.3057,0.188356
2.69511,2.32201,0.473682
2.69511,2.33831,0.473344
2.69511,2.35462,1.14918
2.69511,2.37092,0.842724
2.71142,1.13179,1.3e-05
2.71142,1.14809,1.3e-05
2.71142,1.1644,1.3e-05
2.71142,1.1807,0.0441
2.71142,1.19701,0.152016
2.71142,1.21331,0.152016
2.71142,1.22962,0.881721
2.71142,1.24592,0.848241
2.71142,1.26223,0.5625
2.71142,1.27853,0.463694
2.71142,1.29483,0.463694
2.71142,1.31114,1.66926
2.71142,1.32744,1.75483
2.71142,1.34375,1.04653
2.71142,1.36005,0.990025
2.71142,1.37636,0.848558
2.71142,1.39266,0.848558
2.71142,1.40896,1.21771
2.71142,1.42527,1.21771
2.71142,1.44157,0.723289
2.71142,1.45788,0.889249
2.71142,1.47418,0.259081
2.71142,1.49049,0.259081
2.71142,1.50679,0.3364
2.71142,1.52309,0.241081
2.71142,1.5394,0.051066
2.71142,1.5557,0.051066
2.71142,1.57201,0.0095185
2.71142,1.58831,8.1e-05
2.71142,1.60462,9e-06
2.71142,1.62092,1e-06
2.71142,1.63723,1e-06
2.71142,1.65353,4e-06
2.71142,1.66983,8.1e-05
2.71142,1.68614,0.081862
2.71142,1.70244,0.029584
2.71142,1.71875,0.288369
2.71142,1.73505,0.288369
2.71142,1.75136,0.4356
2.71142,1.76766,1.02212
2.71142,1.78396,0.968256
2.71142,1.80027,0.968256
2.71142,1.81657,1.51782
2.71142,1.83288,1.0733
2.71142,1.84918,1.0733
2.71142,1.86549,1.98988
2.71142,1.88179,0.651249
2.71142,1.89809,0.651249
2.71142,1.9144,0.421388
2.71142,1.9307,0.421388
2.71142,1.94701,0.237599
2.71142,1.96331,0.048841
2.71142,1.97962,0.048841
2.71142,1.99592,0.048841
2.71142,2.01223,8.1e-05
2.71142,2.02853,0.002919
2.71142,2.04483,0.000324
2.71142,2.06114,0.014884
2.71142,2.07744,0.014884
2.71142,2.09375,0.014884
2.71142,2.11005,0.166464
2.71142,2.12636,0.168497
2.71142,2.14266,0.086436
2.71142,2.15896,0.086436
2.71142,2.17527,0.086436
2.71142,2.19157,0.029573
2.71142,2.20788,0.048122
2.71142,2.22418,0.004761
2.71142,2.24049,0.005929
2.71142,2.25679,0.013689
2.71142,2.27309,0.013689
2.71142,2.2894,0.188356
2.71142,2.3057,0.188356
2.71142,2.32201,0.473682
2.71142,2.33831,0.473344
2.71142,2.35462,1.14918
2.71142,2.37092,0.842724
2.72772,1.13179,1e-06
2.72772,1.14809,1e-06
2.72772,1.1644,1e-06
2.72772,1.1807,5e-06
2.72772,1.19701,5e-06
2.72772,1.21331,0.152016
2.72772,1.22962,0.881721
2.72772,1.24592,0.023425
2.72772,1.26223,0.023425
2.72772,1.27853,0.023425
2.72772,1.29483,0.0529
2.72772,1.31114,0.0529
2.72772,1.32744,0.0529
2.72772,1.34375,0.094864
2.72772,1.36005,0.094864
2.72772,1.37636,0.848558
2.72772,1.39266,0.848558
2.72772,1.40896,0.25
2.72772,1.42527,0.25
2.72772,1.44157,0.25
2.72772,1.45788,0.889249
2.72772,1.47418,0.259081
2.72772,1.49049,0.039204
2.72772,1.50679,0.039204
2.72772,1.52309,0.039204
2.72772,1.5394,0.051066
2.72772,1.5557,1.6e-05
2.72772,1.57201,1.6e-05
2.72772,1.58831,8.1e-05
2.72772,1.60462,8.1e-05
2.72772,1.62092,0.016129
2.72772,1.63723,0.016129
2.72772,1.65353,0.0121
2.72772,1.66983,0.0121
2.72772,1.68614,0.0121
2.72772,1.70244,0.029584
2.72772,1.71875,0.288369
2.72772,1.73505,0.268324
2.72772,1.75136,0.268324
2.72772,1.76766,0.954529
2.72772,1.78396,0.954529
2.72772,1.80027,0.968256
2.72772,1.81657,1.51782
2.72772,1.83288,1.21
2.72772,1.84918,0.8836
2.72772,1.86549,0.8836
2.72772,1.88179,0.651249
2.72772,1.89809,0.2704
2.72772,1.9144,0.276354
2.72772,1.9307,0.180625
2.72772,1.94701,0.180625
2.72772,1.96331,0.043264
2.72772,1.97962,0.048841
2.72772,1.99592,0.026244
2.72772,2.01223,0.016384
2.72772,2.02853,0.016384
2.72772,2.04483,4e-06
2.72772,2.06114,4e-06
2.72772,2.07744,0.013225
2.72772,2.09375,0.304704
2.72772,2.11005,0.304704
2.72772,2.12636,0.322624
2.72772,2.14266,0.304704
2.72772,2.15896,0.086436
2.72772,2.17527,0.279841
2.72772,2.19157,0.279841
2.72772,2.20788,0.004761
2.72772,2.22418,0.004761
2.72772,2.24049,0.004761
2.72772,2.25679,0.039797
2.72772,2.27309,0.039797
2.72772,2.2894,0.039797
2.72772,2.3057,0.289444
2.72772,2.32201,0.289444
2.72772,2.33831,0.16
2.72772,2.35462,0.652864
2.72772,2.37092,0.652864
2.74403,1.13179,9e-06
2.74403,1.14809,9e-06
2.74403,1.1644,9e-06
2.74403,1.1807,5e-06
2.74403,1.19701,1e-06
2.74403,1.21331,2.5e-06
2.74403,1.22962,2.5e-06
2.74403,1.24592,0.023425
2.74403,1.26223,0.023425
2.74403,1.27853,1e-06
2.74403,1.29483,4e-06
2.74403,1.31114,0.033856
2.74403,1.32744,0.033856
2.74403,1.34375,0.094864
2.74403,1.36005,1.6e-05
2.74403,1.37636,1.6e-05
2.74403,1.39266,4e-06
